"","prediction","d.CMS1","d.CMS2","d.CMS3","d.CMS4","p.value","FDR"
"GSM971994","CMS2",0.747105514988934,0.628243515837891,0.672121242906592,0.670315523570617,0.001,0.00128054298642534
"GSM971995","CMS3",0.753752318567069,0.66543765228396,0.593366202748356,0.740248931786611,0.001,0.00128054298642534
"GSM971996","CMS4",0.619895570692111,0.762298624099129,0.740515197476263,0.379764355501982,0.001,0.00128054298642534
"GSM971997","CMS1",0.599247556652529,0.798634954112678,0.688144210531023,0.710590231703714,0.001,0.00128054298642534
"GSM971998","CMS3",0.74126101667111,0.682322296528847,0.611749422093938,0.725658435708559,0.001,0.00128054298642534
"GSM971999","CMS4",0.670638070465838,0.662788177096729,0.635942096762709,0.606503654981423,0.001,0.00128054298642534
"GSM972000","CMS2",0.827495436725516,0.597957049676669,0.753849860362144,0.683986358420436,0.001,0.00128054298642534
"GSM972001","CMS3",0.803029831840678,0.665633605604149,0.638329129615528,0.862984663598976,0.001,0.00128054298642534
"GSM972002","CMS3",0.709256765550433,0.8042433651659,0.585585843446243,0.778045236701035,0.001,0.00128054298642534
"GSM972003","CMS2",0.732279942878635,0.629765398658216,0.632908495838187,0.79432093385649,0.001,0.00128054298642534
"GSM972004","CMS2",0.771846237522319,0.617092637187738,0.625276833144637,0.745308208241974,0.001,0.00128054298642534
"GSM972005","CMS3",0.736988989802506,0.745405720417354,0.556996848935365,0.871284791716492,0.001,0.00128054298642534
"GSM972006","CMS4",0.737380880202702,0.679078862549403,0.701575261860571,0.569822995868636,0.001,0.00128054298642534
"GSM972007","CMS4",0.619752550346369,0.771977345369353,0.694671242360882,0.474219129427428,0.001,0.00128054298642534
"GSM972008","CMS4",0.580235520042755,0.796046697801542,0.76489350720889,0.51915875587259,0.001,0.00128054298642534
"GSM972009","CMS3",0.68073984274833,0.68785649397019,0.588646338105563,0.593141544530912,0.001,0.00128054298642534
"GSM972010","CMS4",0.670477464613758,0.720550603349747,0.687404171965899,0.58883198438515,0.001,0.00128054298642534
"GSM972011","CMS4",0.639266451837956,0.780824211187116,0.755042385047941,0.444664770890823,0.001,0.00128054298642534
"GSM972012","CMS3",0.736909731510945,0.700477455462428,0.57686495968277,0.835525703492517,0.001,0.00128054298642534
"GSM972013","CMS2",0.819992593770376,0.63735687190943,0.698529883947883,0.659686415958501,0.001,0.00128054298642534
"GSM972014","CMS2",0.7806318971994,0.640157343662835,0.760170145889767,0.765821676553876,0.001,0.00128054298642534
"GSM972015","CMS1",0.546866598767177,0.829221978571697,0.697016693095504,0.730314445482517,0.001,0.00128054298642534
"GSM972016","CMS4",0.627426614870667,0.755564494522512,0.647734667076813,0.615765687860601,0.001,0.00128054298642534
"GSM972017","CMS4",0.770364636009977,0.697758562948829,0.795606142378685,0.626593669348013,0.001,0.00128054298642534
"GSM972018","CMS4",0.71837315394434,0.664123343709649,0.797709787770921,0.581207141759119,0.001,0.00128054298642534
"GSM972019","CMS4",0.60530967020087,0.773539909151117,0.72233105100435,0.483699985359269,0.001,0.00128054298642534
"GSM972020","CMS4",0.687501289386462,0.654712948779174,0.649482951383076,0.556044395122692,0.001,0.00128054298642534
"GSM972021","CMS4",0.707215584459668,0.786894386551405,0.765141253159666,0.648276350250119,0.001,0.00128054298642534
"GSM972022","CMS4",0.763518763190517,0.692156270402462,0.717173254641141,0.607249041181034,0.001,0.00128054298642534
"GSM972023","CMS4",0.721221143135643,0.719501203622942,0.656469791600459,0.616376907682803,0.001,0.00128054298642534
"GSM972024","CMS2",0.839100487382883,0.607891064228164,0.789381660470706,0.765723533239082,0.001,0.00128054298642534
"GSM972025","CMS3",0.766876857359051,0.686638188698832,0.62829953566366,0.723719942683724,0.001,0.00128054298642534
"GSM972026","CMS4",0.625891579224151,0.773258346725032,0.768204531941725,0.534636693900606,0.001,0.00128054298642534
"GSM972027","CMS2",0.766155699193569,0.633958050876293,0.754635724522024,0.63583903865809,0.001,0.00128054298642534
"GSM972028","CMS4",0.693584142953147,0.66198633225961,0.693151928490029,0.611308501007076,0.001,0.00128054298642534
"GSM972029","CMS4",0.717113457869292,0.684568083801496,0.699529411821564,0.427083951852363,0.001,0.00128054298642534
"GSM972030","CMS4",0.656991043953196,0.793716592879246,0.679047920245949,0.494587093967788,0.001,0.00128054298642534
"GSM972031","CMS2",0.839014876148415,0.638311927396221,0.80694630479389,0.657900171232969,0.001,0.00128054298642534
"GSM972032","CMS2",0.818772279341327,0.591220307557485,0.721163023126936,0.740319294209263,0.001,0.00128054298642534
"GSM972033","CMS2",0.777371434546273,0.640818204169113,0.714016113473736,0.846819875827803,0.001,0.00128054298642534
"GSM972034",NA,0.747657185713341,0.688442711421242,0.715376797030358,0.858142134923209,0.911088911088911,0.934196238544065
"GSM972035","CMS2",0.810074334739345,0.653699910797955,0.793736241829416,0.872523339781236,0.00799200799200799,0.00940431709662479
"GSM972036","CMS3",0.736925491707612,0.675058519188023,0.579153297138619,0.793906811115688,0.001,0.00128054298642534
"GSM972037","CMS1",0.617497584494395,0.713070430056999,0.627374324043275,0.845456644160601,0.001998001998002,0.00245307837498727
"GSM972038","CMS2",0.723257735218837,0.609719723818598,0.76594675335856,0.780283912935172,0.001,0.00128054298642534
"GSM972039","CMS4",0.706144642817228,0.759904081354946,0.76568358230556,0.413475541514161,0.001,0.00128054298642534
"GSM972040","CMS2",0.774951146855046,0.617385908349566,0.709906253309963,0.738245259602698,0.001,0.00128054298642534
"GSM972041","CMS2",0.797439736581525,0.635528917640522,0.76685945254533,0.667828668365874,0.001,0.00128054298642534
"GSM972042","CMS3",0.669967205335957,0.686427176255769,0.594934334756197,0.869465538158671,0.001,0.00128054298642534
"GSM972043","CMS2",0.783981191545847,0.563614442667348,0.722968990910163,0.731783104017318,0.001,0.00128054298642534
"GSM972044","CMS3",0.717335653777713,0.777828431541492,0.614731977637897,0.88504313494767,0.001,0.00128054298642534
"GSM972045","CMS3",0.70269249398576,0.716115208812509,0.59972820720882,0.856473886529527,0.001,0.00128054298642534
"GSM972046","CMS4",0.700771915843453,0.68184268431989,0.723868329714425,0.55380784699231,0.001,0.00128054298642534
"GSM972047","CMS4",0.69749903502005,0.667025590457067,0.731238715161625,0.550141347249746,0.001,0.00128054298642534
"GSM972048","CMS2",0.768540505497218,0.626481659511602,0.731548592056374,0.758415355437187,0.00599400599400599,0.00706793206793207
"GSM972049","CMS3",0.690816097497952,0.782934646444751,0.613237588620971,0.820268510384652,0.001,0.00128054298642534
"GSM972050","CMS3",0.764144598775412,0.70635222573921,0.536323026367389,0.859481384544943,0.001,0.00128054298642534
"GSM972051","CMS4",0.713507468302205,0.720101414642317,0.752776712060979,0.387049135814327,0.001,0.00128054298642534
"GSM972052","CMS2",0.730098605820028,0.664691842474603,0.721909329851175,0.716061488349282,0.001,0.00128054298642534
"GSM972053","CMS2",0.760608713636068,0.669846413526689,0.80489536363879,0.834850371316146,0.038961038961039,0.0437538651824366
"GSM972054","CMS4",0.67738811676984,0.741330504762931,0.728142928853631,0.383060542004253,0.001,0.00128054298642534
"GSM972055","CMS4",0.645051274104309,0.717609420054865,0.641545585298571,0.567353651415754,0.001,0.00128054298642534
